interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;120.00;2min_agg;0;3.27;0;1;gneE9;0;0;3.27;1;0.80;1.86;1.86;5.24;0.37;0.92;0.00
120.00;240.00;2min_agg;2;1.29;0;2;-131361937;0;0;1.29;0;0.63;19.61;39.22;13.16;4.79;19.28;0.00
120.00;240.00;2min_agg;0;22.81;0;9;-343227268;0;0;11.40;6;5.60;22.16;191.88;3.39;167.31;21.10;131.00
120.00;240.00;2min_agg;0;124.80;0;3;-498573406#1;0;0;124.80;3;2.40;1.00;3.00;5.21;0.40;0.04;0.00
120.00;240.00;2min_agg;0;8.01;7;0;-607902629#1;0;0;8.01;7;3.92;24.85;160.55;6.92;105.97;23.70;44.00
120.00;240.00;2min_agg;0;2.38;3;0;-775228304;0;0;2.38;3;1.17;10.22;29.22;10.49;16.11;9.98;0.00
120.00;240.00;2min_agg;0;4.46;3;3;-775228305;0;0;4.46;7;2.14;5.93;37.65;12.71;16.70;5.64;0.00
120.00;240.00;2min_agg;0;180.89;0;2;107270959#10;2;2;60.30;2;1.10;2.17;4.34;2.40;2.82;0.23;0.00
120.00;240.00;2min_agg;0;23.23;40;0;107270959#6;30;30;7.74;41;3.85;14.38;563.64;14.41;272.16;14.19;0.00
120.00;240.00;2min_agg;0;97.02;0;40;107270959#7;5;5;32.34;23;16.09;70.73;2458.62;3.06;2183.10;69.64;1648.00
120.00;240.00;2min_agg;33;12.06;0;27;107270959#9;0;0;4.02;2;1.97;12.72;412.60;22.80;69.74;12.50;0.00
120.00;240.00;2min_agg;0;25.15;20;0;131361937;0;0;25.15;15;12.51;39.72;763.37;6.49;409.68;39.16;238.00
120.00;240.00;2min_agg;0;1.41;0;4;131361940#1;0;0;0.70;3;0.34;22.04;67.15;18.29;21.62;21.32;0.00
120.00;240.00;2min_agg;0;3.29;0;7;140621781#0;0;0;3.29;7;1.60;16.04;112.31;18.03;20.31;15.81;0.00
120.00;240.00;2min_agg;6;2.47;0;7;140621781#1;0;0;2.47;0;1.21;9.66;59.34;21.22;2.60;9.43;0.00
120.00;240.00;2min_agg;0;36.87;0;7;230894418#0;0;0;18.44;6;8.97;19.80;136.23;1.81;125.77;18.59;93.00
120.00;240.00;2min_agg;0;12.85;0;7;230894418#2;2;2;6.43;5;3.13;21.80;150.05;4.69;124.03;20.73;86.00
120.00;240.00;2min_agg;0;15.33;0;21;27318402#0;0;0;5.11;21;2.27;3.98;84.02;12.72;46.63;3.68;0.00
120.00;240.00;2min_agg;0;13.28;0;22;27318402#0.49;0;0;3.32;21;1.16;0.87;18.65;19.29;6.12;0.62;0.00
120.00;240.00;2min_agg;24;7.56;0;21;27318402#0.62;0;0;2.52;0;1.23;7.70;175.88;25.83;16.90;7.52;0.00
120.00;240.00;2min_agg;0;7.70;0;9;27318402#5;9;9;2.57;8;1.00;1.86;16.18;12.12;8.76;1.48;0.00
120.00;240.00;2min_agg;0;3.71;0;8;27318402#6;0;0;1.24;7;0.55;2.56;18.40;18.11;5.84;2.31;0.00
120.00;240.00;2min_agg;0;2.55;0;7;27318402#7;0;0;1.27;7;0.62;10.66;74.60;23.37;8.89;10.45;0.00
120.00;240.00;2min_agg;7;2.68;0;7;27318402#8;0;0;1.34;0;0.61;2.21;15.18;23.62;1.64;2.00;0.00
120.00;240.00;2min_agg;0;19.51;27;0;29027962#0;15;15;6.50;29;3.19;20.75;536.51;11.29;303.50;19.92;49.00
120.00;240.00;2min_agg;0;6.93;0;18;29027962#1;3;3;2.31;17;1.12;8.61;154.06;22.12;25.08;8.41;0.00
120.00;240.00;2min_agg;0;6.14;0;17;29027962#2;0;0;2.05;16;0.93;2.21;37.33;25.15;1.63;2.01;0.00
120.00;240.00;2min_agg;0;6.24;0;16;29027962#3;6;6;2.08;17;0.98;4.13;67.95;23.19;7.33;3.87;0.00
120.00;240.00;2min_agg;0;64.14;0;17;29027962#4;3;3;21.38;19;10.45;25.46;437.77;2.43;395.42;24.72;308.00
120.00;240.00;2min_agg;26;8.89;0;24;29027962#6;5;5;2.96;0;1.46;19.66;494.17;23.82;67.96;19.47;0.00
120.00;240.00;2min_agg;0;77.76;0;2;331059134#5;0;0;77.76;2;1.49;0.93;1.87;5.57;1.43;0.05;0.00
120.00;240.00;2min_agg;0;9.75;19;0;331158296#0;9;9;3.25;17;1.61;17.05;299.56;15.32;127.08;16.77;0.00
120.00;240.00;2min_agg;0;68.99;0;17;331158296#0.267;0;0;23.00;12;11.37;36.04;539.53;1.95;500.63;35.00;406.00
120.00;240.00;2min_agg;0;74.89;0;12;331158296#1;3;3;24.96;13;12.39;100.91;1177.75;1.35;1113.09;99.95;958.00
120.00;240.00;2min_agg;0;1.74;0;4;331158296#2;1;1;0.58;4;0.27;3.23;12.94;20.67;3.34;3.02;0.00
120.00;240.00;2min_agg;0;1.58;0;4;331158296#2.100;2;2;0.40;4;0.17;1.73;6.93;23.95;0.97;1.53;0.00
120.00;240.00;2min_agg;0;6.07;0;4;331158296#2.118;2;2;1.52;4;0.72;10.75;42.98;5.96;31.47;9.78;17.00
120.00;240.00;2min_agg;0;28.96;0;40;331158298;20;20;9.65;39;4.40;5.67;224.13;12.26;123.30;5.36;0.00
120.00;240.00;2min_agg;0;186.10;0;39;331158298.105;20;20;62.03;18;30.83;90.18;2472.57;1.28;2352.33;88.09;1685.00
120.00;240.00;2min_agg;0;3.13;0;4;331159362#1;0;0;1.04;4;0.41;1.79;7.16;13.44;3.76;1.45;0.00
120.00;240.00;2min_agg;0;2.87;0;4;331159362#2;0;0;0.96;4;0.31;0.78;3.13;18.00;1.14;0.51;0.00
120.00;240.00;2min_agg;5;1.51;0;4;331159362#3;0;0;0.76;0;0.37;8.45;38.10;25.43;3.78;8.25;0.00
120.00;240.00;2min_agg;0;7.29;0;16;331159363#1;4;4;1.82;16;0.87;7.44;119.06;18.96;40.58;7.24;0.00
120.00;240.00;2min_agg;0;5.07;0;16;331159364#0;2;2;1.69;16;0.82;6.07;97.05;27.13;5.49;5.89;0.00
120.00;240.00;2min_agg;0;6.97;0;19;331159364#1;1;1;3.48;19;1.63;3.40;64.63;24.20;9.13;3.21;0.00
120.00;240.00;2min_agg;15;5.31;0;19;331159364#2;2;2;1.77;0;0.88;18.77;319.42;27.00;11.90;18.58;0.00
120.00;240.00;2min_agg;0;40.10;0;43;331159364#2.1476;6;6;13.37;43;6.10;6.00;261.55;9.89;144.72;5.16;5.00
120.00;240.00;2min_agg;0;16.67;45;0;331159364#2.526;28;28;5.56;45;2.77;42.04;1889.85;22.59;396.03;41.77;0.00
120.00;240.00;2min_agg;0;6.70;0;8;331159366#1;1;1;2.23;8;0.61;0.63;5.04;17.89;1.65;0.34;0.00
120.00;240.00;2min_agg;0;32.33;0;34;331159366#2;7;7;10.78;36;4.58;3.28;117.45;10.76;60.91;2.79;0.00
120.00;240.00;2min_agg;0;29.24;0;21;331159366#3;0;0;9.75;21;1.97;0.57;11.89;14.81;4.17;0.23;0.00
120.00;240.00;2min_agg;0;55.00;0;63;331159366#4;18;18;18.33;64;8.33;5.59;355.83;10.55;206.11;5.09;0.00
120.00;240.00;2min_agg;0;31.09;0;37;331159366#5;4;4;10.36;38;3.40;0.94;34.55;15.22;7.83;0.61;0.00
120.00;240.00;2min_agg;0;65.07;0;65;331159366#6;18;18;21.69;66;9.61;4.71;306.42;9.40;172.98;4.10;3.00
120.00;240.00;2min_agg;0;57.32;0;26;331159366#7;1;1;19.11;26;2.26;0.42;10.66;15.53;3.22;0.10;0.00
120.00;240.00;2min_agg;0;19.54;0;30;331159366#8;30;30;6.51;29;2.99;4.96;145.95;13.57;63.86;4.46;0.00
120.00;240.00;2min_agg;5;18.27;44;6;331159372#0;32;32;9.13;43;4.55;49.16;2384.38;22.22;471.03;48.96;0.00
120.00;240.00;2min_agg;0;15.46;0;44;331159372#1;4;4;7.73;44;3.78;9.51;422.02;24.45;46.42;9.30;0.00
120.00;240.00;2min_agg;0;40.69;0;43;331159372#2;0;0;20.35;38;9.97;14.53;583.35;8.57;399.58;14.12;238.00
120.00;240.00;2min_agg;0;145.09;0;20;331159372#4;0;0;48.36;26;23.64;24.56;545.48;1.48;512.05;24.44;433.00
120.00;240.00;2min_agg;0;6.62;0;14;331159372#6;1;1;2.21;13;0.98;2.42;32.57;18.98;10.50;2.19;0.00
120.00;240.00;2min_agg;0;5.46;0;12;331159372#7;0;0;1.82;12;0.72;1.02;12.21;23.23;2.23;0.81;0.00
120.00;240.00;2min_agg;0;3.85;0;12;331159372#7.21;0;0;1.93;12;0.94;7.11;85.35;26.65;5.31;6.93;0.00
120.00;240.00;2min_agg;0;96.27;0;12;331159372#8;0;0;48.13;12;0.93;0.19;2.31;27.01;0.11;0.01;0.00
120.00;240.00;2min_agg;12;3.78;0;12;331159372#9;0;0;1.89;0;0.93;9.24;110.74;26.95;5.71;9.06;0.00
120.00;240.00;2min_agg;0;14.02;0;15;331159373#0;0;0;4.67;16;1.98;3.16;49.64;10.92;29.71;2.79;0.00
120.00;240.00;2min_agg;0;7.19;0;19;331159373#0.23;2;2;2.40;19;1.16;8.19;158.44;23.04;24.15;8.00;0.00
120.00;240.00;2min_agg;0;12.05;0;16;331159373#0.40;0;0;4.02;16;1.37;0.97;15.74;16.36;6.27;0.68;0.00
120.00;240.00;2min_agg;18;6.01;0;19;331159373#1;7;7;3.00;0;1.49;24.84;476.14;26.79;12.20;24.66;0.00
120.00;240.00;2min_agg;0;4.35;9;0;331159373#3;2;2;2.17;9;1.08;29.04;309.26;20.58;70.39;28.83;0.00
