interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_timeLoss,edge_traveltime,edge_waitingTime
480.00,600.00,2min_agg,0,6.20,0,18,331162256#1,0,0,3.10,18,1.46,3.26,58.71,25.72,3.34,3.06,0.00
480.00,600.00,2min_agg,0,7.61,0,18,331162256#1.100,2,2,2.54,18,1.08,1.51,27.10,23.04,4.21,1.27,0.00
480.00,600.00,2min_agg,0,51.67,0,18,343227267,1,1,12.92,13,6.30,16.28,279.51,3.08,245.70,15.32,196.00
480.00,600.00,2min_agg,0,9.70,0,14,343227269#1,6,6,3.23,15,1.48,4.51,67.52,13.95,33.18,4.18,0.00
480.00,600.00,2min_agg,0,31.16,0,15,343227269#2,0,0,10.39,16,4.85,7.83,117.89,4.66,95.20,7.21,39.00
480.00,600.00,2min_agg,0,7.89,0,9,343227270#0,0,0,3.94,9,1.93,26.30,236.74,9.70,151.17,25.35,106.00
480.00,600.00,2min_agg,0,1.76,0,4,343227270#2,0,0,0.88,3,0.41,11.88,35.87,14.68,14.38,11.08,0.00
480.00,600.00,2min_agg,3,1.61,0,3,343227271#4,0,0,0.81,0,0.38,11.02,33.01,15.92,13.34,10.82,0.00
480.00,600.00,2min_agg,0,1.60,0,4,343227271#6,4,4,0.80,3,0.38,9.49,31.01,17.55,10.73,9.28,0.00
480.00,600.00,2min_agg,0,2.20,0,3,343227271#7,0,0,2.20,3,1.04,10.13,30.40,11.84,16.98,9.09,0.00
480.00,600.00,2min_agg,6,9.97,9,6,456043498#0,6,6,3.32,12,1.63,11.43,184.70,13.94,93.32,11.24,0.00
480.00,600.00,2min_agg,0,16.93,0,12,456043498#1,1,1,5.64,10,2.75,20.63,245.55,6.10,187.78,19.59,131.00
480.00,600.00,2min_agg,0,5.71,0,14,456043498#3,0,0,1.90,14,0.92,10.19,142.60,20.94,35.67,10.00,0.00
480.00,600.00,2min_agg,12,4.25,0,14,456043498#4,0,0,1.42,0,0.70,15.98,211.95,26.32,11.97,15.79,0.00
480.00,600.00,2min_agg,0,7.67,0,13,456207630#10,6,6,2.56,20,1.25,21.53,372.85,19.04,111.05,20.96,37.00
480.00,600.00,2min_agg,20,10.25,0,25,456207630#11,2,2,3.42,6,1.66,10.86,282.01,21.56,54.09,10.66,0.00
480.00,600.00,2min_agg,0,12.81,30,0,456207630#6,36,36,4.27,31,2.13,24.72,728.30,19.37,223.32,24.54,0.00
480.00,600.00,2min_agg,0,14.13,0,30,456207630#7,0,0,4.71,30,1.54,0.53,15.92,27.12,0.41,0.35,0.00
480.00,600.00,2min_agg,0,40.31,0,30,456207630#8,10,10,13.44,24,6.63,30.24,888.92,6.24,682.74,29.47,467.00
480.00,600.00,2min_agg,0,13.15,0,17,503654784,0,0,13.15,18,6.08,6.28,110.52,11.94,49.63,5.60,0.00
480.00,600.00,2min_agg,0,3.10,0,6,607902629#1,0,0,3.10,6,1.49,9.73,62.07,17.68,15.40,9.50,0.00
480.00,600.00,2min_agg,0,3.42,0,6,607902629#2,0,0,3.42,6,1.60,8.68,52.11,15.19,13.77,7.81,0.00
480.00,600.00,2min_agg,11,4.68,0,16,769037328#2,3,3,2.34,0,1.14,28.42,340.88,21.53,60.37,28.22,0.00
480.00,600.00,2min_agg,2,0.89,0,2,775228304,0,0,0.89,0,0.42,5.43,10.87,19.74,0.30,5.19,0.00
480.00,600.00,2min_agg,7,4.05,0,9,775228305,0,0,4.05,2,1.89,3.80,33.99,19.71,2.87,3.56,0.00
480.00,600.00,2min_agg,0,95.15,0,48,826096563#0,9,9,31.72,38,15.67,33.04,1492.88,4.11,1265.39,32.42,826.00
480.00,600.00,2min_agg,0,20.50,0,39,826096563#1,2,2,6.83,45,3.17,3.82,160.50,18.36,51.40,3.58,0.00
480.00,600.00,2min_agg,62,22.37,0,45,826096563#1.82,0,0,7.46,0,3.67,12.60,689.54,20.78,154.14,12.39,0.00
480.00,600.00,2min_agg,0,9.40,0,18,826105809#10,18,18,3.13,17,1.44,3.85,67.46,16.85,24.81,3.60,0.00
480.00,600.00,2min_agg,0,5.70,0,17,826105809#11,3,3,2.85,16,1.38,6.75,110.42,24.65,7.67,6.56,0.00
480.00,600.00,2min_agg,0,5.92,0,16,826105809#12,0,0,2.96,15,1.28,1.44,22.79,25.81,0.58,1.25,0.00
480.00,600.00,2min_agg,16,5.09,0,15,826105809#13,0,0,1.70,0,0.84,16.26,255.44,26.05,6.98,16.07,0.00
480.00,600.00,2min_agg,0,15.98,25,0,826105809#14,16,16,5.33,27,2.64,13.71,355.74,13.89,174.77,13.49,0.00
